pm10,pm25,so2,co,o3,no2,categori
63,109,43,20,27,19,1
56,90,45,10,34,17,2
64,103,43,16,27,17,1
60,99,45,10,34,17,2
67,112,19,13,31,24,1
65,98,33,13,31,20,2
73,116,37,17,20,17,1
64,117,37,11,22,14,1
75,138,38,11,27,13,1
55,94,37,9,28,17,2
51,78,37,12,23,19,2
15,34,24,3,16,4,3
35,58,38,7,19,16,2
21,47,20,6,22,12,3
62,102,20,30,19,37,1
47,76,24,12,22,28,2
30,54,31,4,18,6,2
25,42,30,4,17,6,3
32,55,51,5,14,12,2
52,77,34,7,18,21,2
24,52,40,9,21,8,2
19,53,40,12,19,10,2
19,41,40,12,20,9,3
18,48,40,7,28,6,3
25,55,40,10,22,11,2
17,44,39,10,21,9,3
31,57,40,13,19,9,2
30,58,40,13,20,8,2
21,50,40,7,16,5,3
33,65,40,12,19,5,2
43,62,40,11,25,9,2
34,57,39,11,26,9,2
42,66,40,11,25,12,2
43,63,40,11,23,13,2
38,66,40,22,21,15,2
37,60,41,10,22,11,2
25,51,39,16,20,13,2
33,63,39,12,24,12,2
21,50,39,10,23,10,3
59,95,40,21,25,12,2
51,83,40,16,24,11,2
42,61,39,9,13,6,2
16,45,39,9,19,4,3
48,75,39,11,23,13,2
59,94,40,13,30,12,2
68,113,39,18,24,14,1
70,126,29,26,15,34,1
23,40,27,5,16,10,3
32,59,28,9,14,17,2
31,52,27,7,13,11,2
23,50,36,6,10,13,3
35,65,38,11,11,42,2
27,55,27,5,20,8,2
36,61,24,9,20,11,2
32,56,24,10,18,17,2
24,35,21,7,22,9,3
44,71,33,25,14,37,2
38,60,41,8,17,17,2
27,52,24,16,14,33,2
32,52,22,10,21,15,2
29,52,22,8,18,12,2
56,92,25,20,16,40,2
49,77,28,8,21,12,2
24,40,28,4,11,7,3
28,52,31,7,13,23,2
24,49,21,7,22,18,3
39,64,27,10,25,24,2
50,77,22,9,22,13,2
45,77,31,9,24,18,2
46,75,50,9,31,18,2
58,90,30,19,21,31,2
50,78,30,15,30,27,2
48,79,31,12,27,23,2
54,88,23,24,30,42,2
55,88,29,18,23,44,2
67,118,29,16,28,31,1
55,93,29,11,32,16,2
62,108,32,13,32,19,1
51,88,32,9,28,20,2
62,105,25,15,25,25,1
56,96,26,9,39,17,2
66,111,26,12,33,22,1
60,99,29,12,37,24,2
58,97,23,12,27,19,2
52,82,28,10,26,19,2
56,95,33,9,28,18,2
49,81,21,10,26,22,2
43,73,22,14,26,25,2
52,83,23,12,28,23,2
52,71,23,10,20,33,2
50,67,22,9,18,17,2
53,70,26,10,20,20,2
59,77,31,14,14,26,2
58,82,22,18,14,38,2
49,65,19,16,18,38,2
54,70,20,26,19,45,2
52,69,20,12,19,28,2
41,57,18,9,26,21,2
47,69,19,10,25,21,2
60,88,24,12,25,24,2
59,79,21,10,25,21,2
70,110,24,14,24,20,1
52,72,24,8,25,14,2
51,67,26,11,20,19,2
51,65,23,8,20,16,2
26,42,22,11,13,19,3
41,54,27,11,17,19,2
25,42,20,8,18,22,3
57,78,21,23,14,33,2
52,69,22,15,18,27,2
33,55,27,10,14,18,2
30,47,25,11,13,19,3
38,55,33,12,13,22,2
54,69,26,14,15,28,2
48,66,23,13,17,29,2
45,68,31,12,25,31,2
55,69,26,20,15,31,2
55,68,23,18,21,40,2
51,71,27,15,25,32,2
56,74,24,24,21,40,2
55,76,24,20,16,42,2
65,101,24,19,19,41,1
57,79,24,11,25,26,2
63,92,25,14,26,30,2
56,83,25,12,21,30,2
63,87,24,19,14,37,2
54,81,25,14,23,40,2
66,99,25,16,21,42,2
66,99,23,18,30,40,2
63,86,24,15,17,36,2
56,79,26,10,22,24,2
62,94,26,12,23,28,2
54,77,21,15,21,34,2
57,71,23,17,18,38,2
