pm10,pm25,so2,co,o3,no2,categori
79,109,54,12,46,22,1
82,112,56,12,41,27,1
82,113,53,13,40,28,1
69,97,52,12,53,24,2
90,117,54,12,81,29,1
64,92,48,8,22,18,2
60,84,47,7,23,18,2
80,124,45,10,28,17,1
86,132,44,9,28,14,1
67,105,46,7,38,15,1
68,102,44,7,32,16,1
73,109,48,8,31,17,1
71,110,50,6,33,16,1
79,119,51,7,34,17,1
67,97,51,4,31,14,2
60,80,47,5,21,14,2
62,99,50,8,25,18,2
66,94,45,6,23,15,2
80,126,49,9,28,23,1
84,123,49,7,29,16,1
70,102,49,5,31,14,1
79,121,49,5,33,16,1
80,122,48,4,33,17,1
77,110,45,5,25,18,1
54,81,45,4,19,13,2
57,79,49,5,22,20,2
63,91,46,5,38,16,2
51,73,45,4,29,12,2
68,102,47,6,32,17,1
69,103,49,6,28,17,1
64,96,50,11,30,15,2
76,124,49,18,26,20,1
73,28,47,17,26,18,2
75,29,51,14,43,21,2
57,26,9,18,31,29,2
62,114,37,13,23,27,1
59,108,40,10,18,23,1
72,141,37,13,25,20,1
84,161,38,14,27,22,1
83,153,39,13,31,26,1
58,100,38,9,31,22,2
69,130,40,12,26,26,1
74,145,40,10,29,25,1
87,156,42,11,30,25,1
71,132,45,9,29,21,1
66,119,39,10,21,17,1
67,119,39,11,20,23,1
57,116,39,13,20,26,1
95,174,40,15,22,24,1
71,138,37,11,24,29,1
73,134,35,9,26,19,1
75,150,37,12,32,22,1
74,140,36,11,32,21,1
80,147,38,13,26,21,1
55,102,36,9,30,18,1
57,110,39,9,28,26,1
56,104,36,10,35,25,1
56,104,37,12,27,25,1
81,148,38,22,28,24,1
68,131,39,14,24,25,1
71,140,40,12,24,26,1
73,145,39,14,24,27,1
66,130,40,12,25,25,1
83,154,39,15,37,34,1
56,100,38,9,29,22,2
54,88,31,12,17,28,2
56,90,29,23,11,51,2
60,103,31,13,20,27,1
73,126,32,13,26,25,1
66,115,35,11,36,20,1
52,80,32,8,32,23,2
60,101,36,10,31,23,1
62,108,37,10,30,23,1
65,113,40,11,34,22,1
55,85,42,6,26,17,2
46,70,40,6,18,13,2
39,58,28,6,14,14,2
59,102,42,11,19,26,1
51,82,38,9,20,26,2
75,129,35,14,26,26,1
70,114,33,11,30,22,1
57,89,32,8,32,19,2
67,115,33,13,34,27,1
61,108,28,9,38,20,1
70,112,32,14,24,21,1
49,80,31,8,18,19,2
51,85,37,9,22,27,2
53,85,30,8,27,25,2
49,83,27,11,23,32,2
77,131,28,24,27,42,1
66,116,29,16,24,31,1
64,110,32,13,29,35,1
70,130,33,17,28,45,1
78,140,32,18,29,39,1
75,121,37,12,50,21,1
53,80,29,6,34,13,2
51,68,25,8,29,22,2
47,63,24,10,25,28,2
50,68,26,11,19,35,2
52,70,29,8,24,26,2
52,66,29,9,21,27,2
56,73,28,15,11,28,2
55,71,31,7,18,18,2
53,69,33,6,23,16,2
52,60,30,6,25,15,2
32,50,25,7,29,16,3
55,73,25,10,24,25,2
55,70,28,8,20,19,2
56,75,28,10,17,28,2
65,92,30,15,24,36,2
56,72,31,8,17,20,2
53,70,30,8,17,19,2
56,77,28,13,26,22,2
59,78,25,11,27,26,2
60,89,31,15,24,35,2
58,84,29,11,32,34,2
59,80,25,13,26,35,2
59,81,28,14,25,28,2
56,77,28,10,25,27,2
59,87,27,12,32,30,2
62,89,26,12,34,34,2
56,77,27,10,22,33,2
62,89,30,11,25,31,2
65,93,26,11,40,27,2
65,96,28,12,30,29,2
79,112,27,17,39,41,1
64,86,27,12,35,33,2
55,75,50,9,67,13,2
52,69,50,10,59,16,2
61,85,53,12,47,25,2
64,89,53,9,50,14,2
61,79,55,9,58,18,2
76,100,58,17,38,31,2
63,79,53,8,48,16,2
60,78,53,9,57,12,2
56,67,52,8,57,10,2
36,53,48,8,55,9,2
58,83,50,10,59,17,2
65,88,52,10,47,18,2
58,79,51,10,49,19,2
69,94,53,11,53,21,2
63,84,53,9,46,16,2
60,80,54,9,42,17,2
62,84,51,9,40,14,2
59,83,51,9,42,17,2
72,101,55,13,26,36,1
73,97,55,12,34,30,2
60,87,51,10,29,21,2
71,100,52,13,25,26,2
63,86,52,9,33,13,2
69,101,52,9,41,18,1
69,98,51,11,38,24,2
61,84,51,9,26,18,2
63,90,52,10,32,21,2
76,104,51,10,41,22,1
68,97,52,10,30,16,2
79,110,52,12,38,29,1
74,96,51,10,48,19,2
51,66,44,9,31,11,2
48,65,47,10,29,12,2
45,66,48,9,30,13,2
56,82,51,8,27,14,2
52,82,51,11,23,15,2
52,77,42,16,19,18,2
58,85,32,16,22,41,2
50,63,29,14,22,35,2
49,63,33,13,21,38,2
57,83,30,17,34,47,2
56,75,31,19,18,46,2
55,72,30,13,22,40,2
38,56,27,8,23,25,2
38,55,29,18,15,32,2
55,73,32,14,17,38,2
38,55,28,10,16,25,2
41,55,48,12,13,15,2
32,49,31,10,16,9,3
51,70,36,16,27,12,2
42,53,29,11,18,7,2
27,39,30,8,16,7,3
31,47,31,8,11,6,3
55,71,50,13,15,9,2
55,75,43,18,19,13,2
28,40,31,7,16,5,3
28,44,33,7,13,6,3
41,54,33,15,16,6,2
27,33,32,7,14,5,3
20,30,32,7,13,5,3
23,35,30,8,12,6,3
39,57,34,10,11,7,2
34,56,32,12,9,7,2
30,37,30,10,8,5,3
19,20,29,5,14,4,3
23,28,30,7,12,5,3
29,50,31,9,18,7,3
64,88,77,12,48,28,2
51,70,13,14,49,34,2
63,95,20,13,63,42,2
64,84,26,14,46,34,2
51,73,13,11,52,26,2
39,62,7,10,55,17,2
37,58,28,11,36,21,2
34,54,18,9,38,19,2
28,53,5,8,41,14,2
60,80,21,11,45,27,2
58,81,14,10,56,24,2
63,111,41,10,24,19,1
54,88,42,7,18,16,2
36,61,41,6,19,15,2
60,110,42,19,18,23,1
53,89,42,7,28,15,2
50,85,42,6,29,14,2
57,101,43,7,23,15,1
64,95,30,12,28,26,2
62,101,28,9,25,18,1
56,92,7,6,45,9,2
57,81,30,11,32,38,2
67,99,32,11,30,35,2
70,85,29,10,28,28,2
58,82,30,11,34,29,2
55,76,29,11,30,33,2
60,83,38,10,26,35,2
45,62,29,9,21,28,2
54,77,33,11,24,35,2
52,69,27,9,32,29,2
58,83,26,9,38,26,2
59,80,29,10,35,30,2
56,76,37,9,23,35,2
52,67,28,8,25,31,2
64,90,33,11,35,35,2
75,106,29,12,34,37,1
66,95,28,15,32,44,2
65,93,34,11,36,30,2
44,55,25,9,19,26,2
41,58,29,14,15,30,2
33,53,29,10,21,27,2
45,65,25,9,28,32,2
64,95,31,18,19,48,2
57,83,29,10,20,36,2
58,85,27,11,28,36,2
62,95,27,14,33,37,2
55,78,29,14,23,43,2
55,76,29,15,22,39,2
51,69,28,16,22,39,2
50,64,31,19,18,35,2
48,68,31,12,25,40,2
53,70,27,11,32,32,2
57,84,59,10,65,16,2
70,103,61,10,58,17,1
64,86,62,11,53,18,2
62,95,60,11,64,24,2
65,90,67,11,54,27,2
65,91,66,9,58,23,2
49,64,60,9,50,20,2
60,85,64,10,54,20,2
53,77,62,9,60,19,2
60,83,61,9,72,12,2
68,100,64,12,66,26,2
77,105,76,12,49,31,1
57,76,63,9,58,18,2
73,105,65,12,70,28,1
82,108,64,13,64,27,1
64,95,63,13,63,28,2
50,60,58,9,45,13,2
46,63,60,16,42,29,2
50,67,73,11,50,26,2
52,68,61,9,57,24,2
73,115,82,14,46,38,1
67,95,81,10,53,28,2
62,96,60,12,62,21,2
65,100,62,12,70,27,2
63,83,67,13,50,32,2
62,86,64,10,49,21,2
51,70,67,12,49,30,2
54,74,80,14,49,26,2
64,90,81,13,56,32,2
56,79,63,12,56,28,2
58,77,49,9,35,11,2
64,100,50,12,28,27,2
54,76,50,8,32,14,2
52,72,50,9,36,11,2
42,65,51,7,36,10,2
48,67,51,6,34,11,2
44,62,50,7,28,11,2
45,63,51,7,38,11,2
55,77,51,9,40,14,2
58,79,51,10,39,12,2
47,65,51,8,37,11,2
52,71,52,9,38,15,2
61,88,51,12,32,17,2
72,107,52,14,40,19,1
64,92,51,15,35,18,2
65,95,51,15,39,18,2
51,66,50,11,24,15,2
45,61,50,15,18,17,2
36,52,51,10,29,12,2
53,74,53,11,29,15,2
59,87,52,13,39,21,2
68,102,51,17,47,18,1
62,90,51,13,38,15,2
51,71,51,13,30,15,2
45,64,52,8,33,13,2
47,60,51,14,15,18,2
37,31,52,17,13,18,2
48,31,51,12,39,18,2
66,103,47,8,37,17,1
52,77,41,7,27,23,2
58,98,45,9,30,22,2
55,83,47,7,36,21,2
61,97,42,9,43,16,2
62,100,43,10,44,26,2
70,111,47,9,32,25,1
100,157,41,15,50,26,1
67,122,40,14,51,23,1
57,88,42,11,32,19,2
52,80,41,18,31,23,2
71,120,45,13,36,21,1
65,109,45,10,35,20,1
68,113,44,15,39,23,1
62,104,44,11,41,22,1
75,130,45,16,36,24,1
59,90,43,10,50,21,2
54,78,40,11,56,18,2
51,79,41,15,45,15,2
62,103,43,15,58,18,1
32,45,5,7,42,12,3
29,50,7,8,41,16,3
40,58,7,15,45,18,2
25,44,8,7,41,12,3
25,55,5,7,41,9,2
21,45,4,7,37,12,3
39,58,7,9,40,21,2
48,68,11,11,39,31,2
50,71,51,17,27,20,2
50,63,51,16,18,18,2
40,62,51,13,37,18,2
52,74,52,16,36,19,2
52,71,52,17,22,19,2
55,75,52,13,42,20,2
44,61,51,10,24,16,2
33,52,52,17,25,16,2
51,62,51,8,14,11,2
47,61,51,12,12,14,2
44,61,47,10,30,12,2
43,65,47,13,40,18,2
53,82,47,11,24,11,2
47,66,49,9,28,11,2
20,28,41,3,28,5,3
37,53,43,6,31,8,2
52,76,41,14,29,13,2
29,41,42,4,27,6,3
24,30,41,3,29,4,3
35,55,42,5,34,7,2
63,83,42,12,27,11,2
16,25,41,4,34,6,3
29,30,42,7,19,8,3
46,31,43,10,35,11,3
54,77,40,18,47,22,2
51,83,42,12,73,17,2
58,93,43,17,27,24,2
61,95,43,16,14,20,2
55,86,44,11,26,29,2
52,81,44,9,35,17,2
52,70,44,14,26,16,2
64,106,43,15,31,19,1
61,100,37,11,20,19,2
45,71,37,10,13,14,2
32,63,37,7,19,14,2
52,82,38,14,30,17,2
48,68,36,13,24,14,2
36,58,36,7,16,11,2
42,68,36,10,15,14,2
60,99,39,10,19,14,2
63,106,41,9,27,18,1
23,38,36,3,17,8,3
26,58,38,6,21,13,2
44,65,37,19,13,14,2
23,45,37,4,14,9,3
17,37,36,3,15,7,3
27,59,37,5,26,12,2
54,80,38,11,24,18,2
58,78,38,14,17,13,2
37,56,37,8,13,12,2
18,33,37,4,18,10,3
29,55,37,8,17,11,2
39,66,38,8,24,15,2
50,65,45,10,26,13,2
51,66,43,15,27,12,2
62,91,47,17,42,18,2
20,28,44,7,32,10,3
39,62,45,17,45,13,2
46,60,46,11,51,16,2
38,55,45,8,47,12,2
53,68,44,11,23,10,2
35,58,35,10,33,12,2
57,90,34,20,48,23,2
54,74,34,13,43,15,2
49,72,34,14,39,18,2
56,82,34,21,44,24,2
56,78,34,12,44,17,2
33,53,34,9,31,10,2
54,77,33,18,31,13,2
39,59,33,14,36,12,2
75,116,35,23,38,21,1
47,54,21,12,20,9,2
60,53,21,15,19,13,2
63,100,39,12,19,23,2
33,56,38,5,18,13,2
41,71,39,7,23,15,2
42,62,39,8,14,15,2
53,80,39,17,13,15,2
52,83,41,20,23,19,2
179,58,39,9,17,15,1
47,76,40,14,25,14,2
38,63,40,9,28,19,2
45,73,42,10,24,19,2
32,60,39,7,22,17,2
50,76,40,7,28,14,2
69,124,40,15,29,23,1
78,136,41,14,32,18,1
55,81,39,13,34,17,2
64,102,41,21,40,22,1
57,86,42,10,30,16,2
50,71,18,8,19,18,2
22,42,14,2,19,5,3
30,54,16,3,18,9,2
34,54,27,5,14,15,2
51,71,30,12,12,29,2
61,85,36,23,18,57,2
25,44,22,5,15,21,3
44,66,17,13,23,30,2
30,50,20,5,31,15,3
48,63,32,8,28,30,2
32,54,21,5,31,15,2
39,60,16,13,20,34,2
22,45,20,3,16,14,3
36,56,33,3,21,21,2
51,67,32,5,31,28,2
56,82,23,11,34,36,2
52,73,26,8,28,35,2
45,63,18,8,22,32,2
54,84,19,18,35,45,2
48,65,20,6,22,16,2
47,73,20,15,31,49,2
62,90,19,24,29,65,2
59,88,24,16,23,44,2
32,59,25,9,19,52,2
55,81,34,17,15,62,2
32,57,27,9,20,34,2
54,76,36,14,21,47,2
44,68,20,11,21,33,2
34,54,28,8,25,29,2
53,75,25,15,23,44,2
60,87,28,19,30,53,2
52,77,19,10,14,35,2
52,74,24,10,20,35,2
23,34,13,2,15,7,3
28,50,17,4,16,17,3
46,62,15,17,14,44,2
22,38,15,3,14,10,3
15,34,15,2,13,6,3
22,43,13,3,13,8,3
43,67,19,6,14,16,2
32,59,16,7,15,20,2
22,36,13,7,18,22,3
18,26,12,2,16,8,3
15,34,13,3,13,9,3
23,52,15,4,21,10,2
49,65,33,13,15,12,2
28,34,31,7,15,5,3
39,52,35,13,15,9,2
41,57,39,15,15,9,2
60,81,55,23,18,11,2
30,31,34,12,16,9,3
45,60,33,17,18,10,2
33,50,36,10,21,11,3
46,59,43,14,19,12,2
28,43,33,8,24,9,3
44,57,32,17,15,7,2
31,46,34,10,13,6,3
46,61,46,15,16,10,2
58,75,43,19,20,14,2
56,74,39,20,24,16,2
53,71,42,18,24,15,2
51,63,39,18,22,10,2
58,81,38,24,33,15,2
52,63,39,13,23,11,2
52,74,41,19,22,17,2
63,85,56,28,25,19,2
56,77,57,18,20,18,2
34,52,53,15,17,11,2
53,68,56,17,17,9,2
35,53,51,11,22,10,2
52,71,61,15,20,15,2
51,65,53,15,18,13,2
31,49,54,10,24,11,2
55,71,53,16,23,14,2
62,85,52,23,20,14,2
32,50,40,7,40,14,3
34,55,41,9,48,17,2
40,63,43,8,43,16,2
46,65,44,14,39,24,2
61,88,51,18,45,31,2
33,58,42,11,43,19,2
49,71,31,15,51,30,2
31,52,32,8,50,20,2
33,54,34,9,41,24,2
33,50,33,8,51,22,2
49,62,40,13,42,22,2
31,53,34,9,34,23,2
51,65,43,9,35,26,2
62,86,44,11,50,30,2
58,75,35,15,57,32,2
44,64,35,13,54,24,2
65,96,40,21,78,33,2
53,67,32,11,58,20,2
65,94,36,21,54,49,2
70,99,46,19,42,42,2
36,56,35,15,36,27,2
53,70,38,19,35,30,2
41,55,38,15,37,24,2
50,66,35,14,40,24,2
53,68,38,16,34,33,2
47,64,38,13,38,35,2
61,85,33,23,37,44,2
53,70,43,12,32,15,2
35,55,42,7,29,9,2
54,67,43,9,32,11,2
54,73,56,24,23,24,2
40,64,57,21,17,24,2
75,129,45,25,71,26,1
66,110,47,16,61,23,1
56,78,49,11,60,13,2
78,126,48,17,126,25,1
81,137,47,18,106,29,1
68,109,50,12,91,19,1
85,148,51,25,74,37,1
59,84,50,15,56,29,2
58,82,49,16,55,29,2
64,85,49,17,56,30,2
80,130,50,25,57,37,1
76,119,53,19,53,31,1
64,98,50,12,66,19,2
71,119,50,15,82,20,1
76,116,49,17,81,27,1
57,78,49,13,79,22,2
59,101,49,13,65,17,1
76,117,50,14,69,18,1
70,105,49,14,66,26,1
64,89,49,25,84,28,2
55,78,48,17,108,25,1
61,89,51,15,181,33,1
64,84,50,17,63,28,2
68,93,50,14,80,20,2
58,77,48,21,76,36,2
65,94,49,17,97,25,2
74,107,52,19,80,27,1
73,116,49,19,82,29,1
61,88,50,14,103,21,1
60,84,48,18,97,27,2
76,119,50,18,114,29,1
69,101,49,19,87,29,1
60,82,47,17,79,26,2
69,99,48,15,82,20,2
82,141,51,19,129,24,1
67,113,50,15,84,28,1
83,130,51,15,42,25,1
71,103,51,14,45,23,1
62,100,51,14,50,21,2
62,92,51,13,55,24,2
63,86,51,14,58,26,2
57,79,51,14,56,26,2
58,94,50,14,48,25,2
57,83,50,17,39,33,2
73,97,50,24,50,45,2
63,90,50,16,37,24,2
69,112,50,17,42,32,1
66,110,51,21,37,41,1
70,113,51,17,46,28,1
72,113,51,21,43,33,1
70,103,51,19,49,35,1
62,100,51,18,52,33,2
78,117,51,26,34,39,1
67,113,53,18,42,38,1
59,81,52,18,45,32,2
53,79,52,18,35,27,2
64,88,51,20,37,34,2
56,72,48,22,41,39,2
71,91,49,28,32,43,2
61,87,48,26,32,45,2
55,79,49,15,38,21,2
63,86,51,12,43,17,2
59,105,51,15,45,23,1
42,76,50,9,33,14,2
64,102,50,18,37,31,1
71,108,51,21,35,32,1
39,43,51,11,27,17,2
27,53,51,9,30,19,2
41,57,50,10,31,18,2
52,66,51,11,45,21,2
58,82,51,19,39,41,2
52,67,50,16,31,27,2
67,88,51,28,47,45,2
64,92,51,22,42,44,2
59,79,50,16,45,35,2
56,85,51,13,54,25,2
62,93,51,19,52,36,2
55,78,51,13,58,27,2
67,94,50,28,47,45,2
63,91,52,17,54,36,2
70,97,54,27,44,42,2
77,126,51,23,59,45,1
54,74,50,14,38,25,2
58,95,50,24,39,35,2
35,61,50,17,28,25,2
51,66,53,17,35,34,2
61,89,51,20,39,32,2
51,68,50,22,36,42,2
67,98,51,15,40,33,2
56,76,51,18,38,35,2
54,79,50,12,43,19,2
80,128,52,14,39,21,1
41,66,51,18,35,27,2
54,77,51,16,33,32,2
53,86,51,15,41,29,2
51,87,51,11,49,19,2
60,78,51,21,44,22,2
49,70,51,10,44,21,2
84,144,51,14,54,34,1
65,89,51,13,49,23,2
66,95,52,23,49,42,2
62,81,51,22,55,42,2
63,90,51,18,38,34,2
74,104,51,13,48,22,1
66,101,53,30,36,50,1
64,96,51,25,41,47,2
53,76,51,18,29,30,2
46,71,51,19,31,25,2
40,61,51,11,36,18,2
38,63,51,17,38,27,2
60,85,51,17,44,28,2
59,95,51,16,39,33,2
54,80,52,10,31,22,2
58,72,52,12,35,25,2
42,53,53,16,29,27,2
47,77,56,12,27,24,2
34,51,51,7,30,12,2
40,62,51,11,29,19,2
46,72,51,10,26,15,2
50,71,52,11,29,23,2
51,66,52,10,34,24,2
52,77,52,15,38,26,2
80,131,51,20,42,45,1
74,112,52,24,37,36,1
59,83,51,14,50,31,2
53,73,51,22,48,32,2
65,97,52,13,40,31,2
64,93,52,17,50,31,2
60,94,52,18,42,30,2
60,100,52,16,49,31,2
65,95,52,19,45,34,2
74,117,52,19,48,33,1
70,107,49,24,41,44,1
53,88,52,21,37,40,2
51,85,52,16,47,35,2
59,94,51,21,31,41,2
42,72,52,27,29,35,2
44,72,52,20,31,32,2
37,62,51,10,32,22,2
47,71,51,13,28,23,2
46,71,51,10,30,17,2
28,60,52,10,29,23,2
56,83,52,12,28,30,2
65,98,52,30,38,45,2
64,96,52,26,46,45,2
64,99,57,28,39,48,2
85,154,54,23,29,47,1
57,86,62,45,27,32,2
49,65,59,49,23,24,2
31,40,57,38,24,18,2
58,92,57,55,26,24,2
42,56,57,45,25,18,2
43,62,58,54,25,27,2
36,47,58,42,20,18,2
46,66,57,41,15,19,2
23,50,57,12,16,15,2
46,60,53,12,37,28,2
60,87,51,13,36,26,2
56,82,52,14,39,27,2
55,77,52,17,41,29,2
71,113,48,22,38,41,1
73,117,53,16,48,42,1
95,165,53,18,55,32,1
59,102,51,14,51,26,1
49,80,49,13,37,21,2
40,70,45,10,36,11,2
57,85,48,13,34,18,2
72,119,58,44,53,44,1
75,129,53,25,59,50,1
65,120,52,30,52,46,1
63,84,52,12,60,28,2
58,75,47,14,48,25,2
38,56,45,14,57,24,2
41,58,46,9,51,19,2
57,74,48,11,58,18,2
57,73,50,11,35,15,2
52,73,51,12,39,20,2
40,57,51,15,51,23,2
40,57,55,14,68,24,2
45,61,45,15,69,22,2
54,67,47,14,59,33,2
67,93,44,19,63,28,2
67,102,47,20,65,32,1
55,69,51,15,68,29,2
46,63,48,15,63,32,2
38,62,52,15,63,32,2
46,59,51,15,38,29,2
42,83,41,12,59,20,2
47,91,44,13,45,26,2
59,82,41,13,70,29,2
60,118,44,14,99,28,1
63,114,41,24,82,30,1
60,108,42,30,52,43,1
83,128,49,25,52,42,1
46,56,41,15,43,24,2
61,105,42,18,69,34,1
52,78,41,13,84,29,2
73,135,40,13,88,14,1
27,50,44,11,17,12,3
95,160,49,34,137,34,1
75,119,42,20,109,35,1
61,117,44,17,52,31,1
49,62,40,12,59,28,2
84,126,46,49,42,51,1
67,92,43,17,49,29,2
90,122,51,19,70,29,1
43,65,43,15,40,22,2
46,61,41,16,34,19,2
50,63,38,12,35,17,2
38,53,38,10,34,8,2
55,71,39,13,34,14,2
46,73,40,15,48,20,2
67,111,40,23,69,32,1
77,141,40,23,77,28,1
51,76,41,21,53,25,2
56,97,41,22,54,28,2
60,109,39,25,80,31,1
46,65,43,18,36,20,2
50,59,39,13,41,21,2
77,107,46,23,52,52,1
60,112,42,24,79,40,1
50,75,40,20,58,28,2
55,102,40,15,45,25,1
29,53,37,13,37,13,2
53,90,38,21,28,18,2
48,68,40,17,36,22,2
32,53,41,13,45,20,2
30,55,43,12,35,18,2
32,51,46,15,24,15,2
74,114,47,19,76,38,1
39,53,38,16,17,6,2
35,60,40,10,46,16,2
66,128,42,22,77,31,1
58,100,42,22,81,31,2
77,126,42,19,87,23,1
57,101,44,14,72,30,1
34,55,44,8,65,20,2
61,85,54,13,63,25,2
54,75,41,12,81,26,2
54,86,50,17,74,28,2
58,95,44,12,73,24,2
63,98,42,19,76,21,2
56,92,41,12,82,13,2
39,73,42,10,58,12,2
53,102,41,13,72,20,1
51,85,41,11,77,18,2
36,58,40,13,58,23,2
58,90,41,16,82,17,2
53,77,43,18,55,27,2
68,117,48,13,84,26,1
59,79,46,14,72,32,2
57,82,46,16,82,29,2
74,102,45,22,76,33,1
76,148,52,21,93,24,1
63,119,46,16,91,21,1
61,102,41,15,81,28,1
66,104,44,14,111,25,1
78,116,42,21,118,40,1
71,107,52,22,78,43,1
63,98,44,17,95,31,2
82,164,46,27,80,38,1
50,76,42,21,59,28,2
52,81,40,17,50,29,2
58,90,42,22,62,35,2
54,87,40,20,57,32,2
73,92,53,19,73,43,2
49,71,43,23,69,27,2
51,74,39,14,40,17,2
61,99,42,18,70,28,2
66,126,48,24,61,26,1
63,100,44,44,59,44,2
51,89,45,17,58,31,2
64,107,43,23,65,40,1
57,105,43,17,82,33,1
79,146,52,25,76,35,1
57,93,45,15,52,26,2
74,121,48,16,58,27,1
58,98,46,11,54,21,2
68,123,47,17,53,24,1
58,110,44,17,55,25,1
58,82,44,20,58,32,2
70,128,43,24,71,43,1
75,136,43,28,64,46,1
62,99,42,15,89,24,2
68,106,45,22,69,36,1
82,131,46,23,60,31,1
85,123,46,22,77,38,1
82,119,46,19,68,32,1
71,123,47,17,72,27,1
79,114,47,18,70,32,1
78,131,45,17,99,27,1
73,118,47,23,82,37,1
75,117,45,30,58,42,1
85,130,45,25,50,37,1
79,146,46,32,50,45,1
80,141,45,25,44,43,1
75,112,49,27,52,50,1
61,97,46,22,71,38,2
61,112,45,22,71,33,1
58,92,45,15,67,28,2
56,82,44,26,49,36,2
65,97,51,27,34,46,2
65,110,44,18,54,25,1
61,76,44,18,50,32,2
64,111,44,21,62,35,1
62,116,45,15,87,27,1
78,136,44,26,92,51,1
51,68,44,20,72,36,2
56,100,44,15,76,33,2
73,111,49,15,87,31,1
80,143,49,17,115,27,1
66,118,49,15,95,22,1
74,123,50,12,86,22,1
82,132,50,16,90,30,1
70,116,50,14,118,24,1
67,110,49,16,85,20,1
56,87,46,16,91,24,2
54,82,47,14,94,21,2
61,99,50,14,67,19,2
74,121,50,17,96,25,1
75,110,50,15,114,28,1
76,124,49,18,94,26,1
75,114,50,15,98,25,1
75,143,48,30,84,36,1
59,89,48,28,51,36,2
36,59,46,15,48,31,2
58,86,49,12,65,18,2
85,125,47,25,57,33,1
69,114,48,16,65,29,1
77,123,49,17,84,28,1
66,112,47,15,84,29,1
63,93,47,13,84,19,2
61,93,48,13,107,25,1
55,80,48,17,95,25,2
94,135,46,29,74,44,1
38,44,50,8,19,27,3
29,33,47,11,21,27,3
38,46,49,9,16,25,3
33,41,47,11,21,22,3
31,44,46,9,20,19,3
37,54,50,11,17,19,2
42,54,51,12,17,23,2
47,58,46,13,22,33,2
45,61,46,12,14,28,2
44,62,45,12,18,35,2
61,83,47,13,17,39,2
53,72,48,12,21,33,2
51,61,47,12,15,30,2
29,42,43,11,23,31,3
64,84,46,15,21,44,2
49,59,44,11,21,28,2
44,60,45,12,20,34,2
53,67,46,12,24,29,2
54,76,47,13,28,33,2
54,71,47,14,20,45,2
53,69,46,11,29,25,2
45,64,45,13,25,25,2
35,52,45,13,27,25,2
55,72,46,17,19,34,2
56,74,46,16,21,33,2
49,66,52,15,22,32,2
45,57,49,13,22,29,2
37,41,20,10,20,23,3
26,38,19,13,15,25,3
34,41,20,10,19,22,3
30,36,19,11,17,19,3
34,45,19,10,21,18,3
37,48,19,8,20,19,3
37,53,23,8,15,16,2
33,41,19,7,21,20,3
51,58,20,11,18,31,2
42,58,18,12,24,26,2
48,63,21,16,28,35,2
73,94,27,16,24,36,2
58,79,34,10,28,25,2
44,54,19,7,27,21,2
34,50,23,9,24,24,3
68,87,23,22,20,36,2
56,64,23,10,25,20,2
56,69,28,11,26,27,2
62,70,31,12,28,24,2
57,77,22,12,32,23,2
63,83,28,12,29,31,2
58,66,21,7,41,19,2
40,56,21,5,37,13,2
51,71,21,10,36,28,2
52,62,22,10,34,27,2
33,52,20,9,30,26,2
58,76,44,19,23,34,2
72,87,33,19,22,29,2
52,64,28,17,21,29,2
43,53,21,12,37,26,2
30,38,13,7,11,3,3
23,29,13,7,9,2,3
34,52,14,7,11,2,2
40,60,14,7,14,3,2
38,46,14,6,10,2,3
60,87,15,7,11,4,2
62,82,15,7,20,7,2
51,79,34,11,20,14,2
40,65,35,12,26,10,2
62,96,38,19,20,22,2
55,88,39,17,27,11,2
58,81,40,15,17,11,2
36,56,35,10,21,7,2
66,98,37,34,18,27,2
64,90,35,22,21,20,2
49,64,37,13,30,11,2
49,72,35,17,25,10,2
55,83,38,13,26,12,2
52,70,36,19,24,25,2
52,71,35,8,26,11,2
55,77,36,12,21,12,2
57,87,35,11,25,13,2
62,88,36,12,21,13,2
70,46,37,15,12,34,2
53,52,38,11,11,19,2
40,49,11,26,10,10,3
35,50,28,11,7,17,3
38,39,27,10,5,13,3
35,50,28,10,8,14,3
31,51,28,10,10,14,2
46,50,28,9,8,11,3
51,54,28,6,8,7,2
34,64,29,8,10,10,2
50,87,30,13,14,20,2
49,73,29,11,20,23,2
64,109,30,16,14,22,1
64,107,31,11,23,16,1
50,63,30,9,15,19,2
61,84,32,12,20,16,2
52,91,32,12,26,19,2
59,94,31,11,21,17,2
60,87,31,7,22,16,2
63,87,33,13,15,11,2
57,85,33,8,19,13,2
28,42,50,5,21,24,3
55,71,53,8,25,27,2
45,59,45,6,27,17,2
34,51,52,6,15,12,2
41,52,50,7,14,22,2
30,38,40,8,31,24,3
31,43,38,6,11,17,3
25,30,37,6,19,15,3
34,34,35,8,21,19,3
20,16,34,5,23,16,3
28,26,34,5,23,13,3
23,18,34,5,23,11,3
21,21,34,6,17,11,3
29,30,35,6,20,15,3
33,43,39,7,18,21,3
54,70,43,11,22,26,2
56,73,39,8,27,25,2
38,50,39,7,23,14,3
24,32,39,8,21,16,3
29,31,40,8,23,19,3
28,33,44,10,22,28,3
36,45,44,9,27,29,3
34,44,44,10,26,23,3
32,32,43,10,30,24,3
43,54,52,10,19,32,2
44,55,11,9,28,21,2
41,53,59,9,30,25,2
26,39,21,10,25,21,3
54,68,24,10,27,27,2
44,56,19,7,28,18,2
36,53,33,6,17,12,2
39,50,25,7,22,19,3
30,43,19,9,25,23,3
